Unité	F	f_1 - 4	Score	f_5 - 6	Score	f_7 - 10	Score
"organisation"	25	1	-0.7581	3	-0.6209	21	1.2158
"XIII"	104	8	-0.9918	33	2.5515	63	-1.1759
"fraicheur"	5	0	-0.2815	1	0.1743	4	0.3123
"mélancolie"	4	0	-0.2252	2	0.7481	2	-0.4157
"constant"	21	0	-1.1823	7	0.9778	14	-0.2757
"noirceur"	3	0	-0.1689	0	-0.2884	3	0.5027
"prononcer"	9	0	-0.5067	0	-0.8652	9	1.5082
"confus"	14	2	0.2827	4	0.5274	8	-0.5641
"bluffer"	12	0	-0.6756	0	-1.1536	12	2.011
"inventif"	7	0	-0.3941	2	0.3775	5	0.2211
"diversifier"	15	1	-0.3565	2	-0.3942	12	0.6169
"intuitif"	16	3	0.5127	2	-0.4471	11	0.2276
"pur"	38	1	-1.3428	7	-0.2931	30	1.0075
"bonheur"	29	1	-0.9325	5	-0.3268	23	0.8784
"saga"	107	15	0.4964	28	1.1661	64	-1.3407
"référence"	33	3	-0.3786	10	0.988	20	-0.6345
"PS2"	31	4	0.2754	3	-0.9565	24	0.7542
"Empire"	7	0	-0.3941	3	0.8369	4	-0.3991
"contre-attaque"	8	1	0.1901	0	-0.769	7	0.6624
"lourd"	36	4	-0.2588	4	-0.8819	28	0.8575
"interface"	26	3	-0.2153	3	-0.6738	20	0.6474
"courbe"	4	0	-0.2252	0	-0.3845	4	0.6703
"visible"	16	2	0.2247	0	-1.5381	14	1.1355
"puissant"	47	4	-0.5104	8	-0.4048	35	0.6673
"condition"	28	3	-0.2582	5	-0.2939	20	0.3614
"équiper"	17	2	-0.1819	2	-0.502	13	0.4925
"Tetsuya"	10	3	0.9506	2	0.2077	5	-0.7283
"Nomura"	23	4	0.5173	7	0.8085	12	-1.0796
"continuer"	82	12	0.535	17	0.3327	53	-0.5318
"lancée"	3	0	-0.1689	0	-0.2884	3	0.5027
"essayer"	29	3	-0.2808	9	0.9805	17	-0.7272
"conserver"	16	3	0.5127	1	-0.8423	12	0.4186
"légèreté"	5	0	-0.2815	1	0.1743	4	0.3123
"instant"	46	7	0.4894	5	-1.0794	34	0.6125
"maladroit"	18	0	-1.0134	9	2.3937	9	-1.0641
"démarche"	8	1	0.1901	0	-0.769	7	0.6624
"prédécesseur"	29	1	-0.9325	1	-1.8748	27	2.8401
"améliorer"	107	2	-3.9294	9	-3.0015	96	6.9236
"rose"	9	0	-0.5067	1	-0.356	8	0.7891
"avouer"	67	13	1.2339	13	-0.2706	41	-0.8395
"entrer"	30	4	0.2979	4	-0.5826	22	0.468
"RPG"	76	9	-0.2566	11	-0.8236	56	0.7606
"partout"	69	6	-0.6001	20	1.351	43	-0.7248
"ralentissement"	13	0	-0.7319	3	0.3071	10	0.4439
"maitriser"	17	1	-0.4316	5	0.6254	11	-0.323
"KH"	9	2	0.5219	1	-0.356	6	-0.2293
"disparaître"	38	6	0.5044	13	1.5646	19	-1.7979
"paire"	4	0	-0.2252	0	-0.3845	4	0.6703
"ajout"	15	0	-0.8445	1	-0.7684	14	1.6072
"réaction"	20	4	0.6585	0	-1.9227	16	0.7391
"dynamisme"	13	0	-0.7319	0	-1.2497	13	2.1786
"hallucinant"	17	0	-0.9571	4	0.3515	13	0.4925
"contrepartie"	6	0	-0.3378	1	-0.1812	5	0.4228
"TRES"	2	0	-0.1126	0	-0.1923	2	0.3352
"expert"	6	1	0.2671	2	0.4671	3	-0.5319
"résistance"	8	0	-0.4504	2	0.3076	6	0.3002
"="	52	4	-0.6452	8	-0.5684	40	0.9719
"continuité"	5	0	-0.2815	0	-0.4807	5	0.8379
"marquant"	25	1	-0.7581	5	0.2424	19	0.5765
"bruitage"	17	1	-0.4316	2	-0.502	14	0.8068
"Français"	9	0	-0.5067	3	0.5884	6	-0.2293
"interrogation"	8	0	-0.4504	0	-0.769	8	1.3407
"sombre"	57	1	-2.2603	5	-1.7047	51	3.8403
"optimiste"	6	0	-0.3378	0	-0.5768	6	1.0055
"MAIS"	8	1	0.1901	4	1.2599	3	-1.1244
"sous-exploiter"	6	0	-0.3378	0	-0.5768	6	1.0055
"signaler"	6	2	0.7985	0	-0.5768	4	-0.206
"annexe"	160	22	0.5198	47	2.59	91	-2.6835
"appréciable"	24	0	-1.3512	3	-0.5694	21	1.5674
"ressortir"	15	3	0.5652	2	-0.3942	10	-0.2575
"équilibrer"	9	0	-0.5067	2	0.2522	7	0.387
"ressort"	2	0	-0.1126	0	-0.1923	2	0.3352
"pari"	21	0	-1.1823	1	-1.2262	20	2.4823
"combiner"	10	0	-0.563	1	-0.42	9	0.9193
"matiné"	2	0	-0.1126	1	0.4465	1	-0.2694
"coût"	3	0	-0.1689	0	-0.2884	3	0.5027
"marketing"	7	0	-0.3941	2	0.3775	5	0.2211
"vérité"	23	4	0.5173	4	-0.2944	15	-0.3327
"trésor"	39	1	-1.3896	5	-0.731	33	1.8027
"apothéose"	6	0	-0.3378	0	-0.5768	6	1.0055
"nommer"	20	7	2.1435	2	-0.6767	11	-0.8036
"spin-off"	5	0	-0.2815	0	-0.4807	5	0.8379
"Chain"	4	0	-0.2252	1	0.231	3	0.2104
"Memories"	5	0	-0.2815	2	0.5854	3	-0.2901
"ludothèque"	6	0	-0.3378	1	-0.1812	5	0.4228
"vivant"	58	6	-0.3646	9	-0.5856	43	0.7096
"artistiquement"	13	0	-0.7319	0	-1.2497	13	2.1786
"redonner"	7	1	0.2244	2	0.3775	4	-0.3991
"Action-RPG"	3	1	0.4919	0	-0.2884	2	-0.1638
"brouillon"	36	5	0.3478	11	1.0692	20	-1.0956
"maîtrise"	13	1	-0.2848	1	-0.6243	11	0.7909
"keyblade"	4	1	0.393	0	-0.3845	3	0.2104
"compagnon"	45	4	-0.4597	8	-0.3465	33	0.5598
"taire"	15	1	-0.3565	7	1.7602	7	-1.147
"1er"	30	1	-0.977	2	-1.3382	27	2.2988
"KHII"	5	4	3.0061	0	-0.4807	1	-1.4082
"récit"	21	8	2.6518	2	-0.7379	11	-1.0029
"travailler"	64	7	-0.3218	12	-0.3127	45	0.3964
"pagaille"	4	0	-0.2252	1	0.231	3	0.2104
"digne"	53	6	-0.275	10	-0.2918	37	0.3446
"hollywoodien"	3	0	-0.1689	1	0.314	2	-0.1638
"regret"	9	1	-0.1553	2	0.2522	6	-0.2293
"réclamer"	9	0	-0.5067	0	-0.8652	9	1.5082
"prolonger"	6	0	-0.3378	1	-0.1812	5	0.4228
"50h"	2	0	-0.1126	1	0.4465	1	-0.2694
"souhaiter"	34	2	-0.6979	7	0.2795	25	0.5064
"optionnel"	15	5	1.5546	2	-0.3942	8	-0.7632
"fameux"	69	10	0.4852	16	0.5431	43	-0.7248
"instaurer"	7	0	-0.3941	3	0.8369	4	-0.3991
"attente"	47	5	-0.3144	11	0.4895	31	-0.3601
"existence"	13	4	1.1983	2	-0.295	7	-0.6786
"époque"	147	20	0.4802	25	-0.647	102	0.4033
"rpg"	8	0	-0.4504	4	1.2599	4	-0.6342
"con"	32	11	3.0226	6	-0.2647	15	-1.9705
"parsemer"	12	0	-0.6756	5	1.1508	7	-0.48
"habituel"	8	0	-0.4504	2	0.3076	6	0.3002
"cliché"	11	4	1.4486	4	0.8014	3	-2.1735
"amitié"	21	1	-0.5905	3	-0.4241	17	0.8285
"rédemption"	15	0	-0.8445	1	-0.7684	14	1.6072
"intégrer"	25	3	-0.1951	2	-0.9949	20	0.8528
"cross-over"	2	0	-0.1126	1	0.4465	1	-0.2694
"émoustiller"	3	0	-0.1689	1	0.314	2	-0.1638
"énigmatique"	3	0	-0.1689	1	0.314	2	-0.1638
"DS"	10	0	-0.563	5	1.4969	5	-0.7283
"catastrophique"	25	3	-0.1951	7	0.6688	15	-0.5918
"tendre"	15	2	0.2519	3	0.2243	10	-0.2575
"joue"	8	0	-0.4504	2	0.3076	6	0.3002
"méga"	4	0	-0.2252	1	0.231	3	0.2104
"claquer"	9	1	-0.1553	1	-0.356	7	0.387
"gueule"	43	7	0.5788	13	1.1555	23	-1.4806
"ben"	23	7	1.7853	4	-0.2944	12	-1.0796
"claque"	34	9	1.7519	8	0.4445	17	-1.6571
"train"	50	2	-1.3182	19	2.6379	29	-1.0528
"dodo"	2	0	-0.1126	1	0.4465	1	-0.2694
"pénaliser"	2	0	-0.1126	1	0.4465	1	-0.2694
"hum"	5	0	-0.2815	1	0.1743	4	0.3123
"Bref"	21	4	0.6073	7	0.9778	10	-1.3755
"maladie"	16	1	-0.3936	3	-0.219	12	0.4186
"pique"	3	0	-0.1689	1	0.314	2	-0.1638
"vaquer"	7	0	-0.3941	1	-0.2361	6	0.54
"occupation"	5	0	-0.2815	1	0.1743	4	0.3123
"manger"	20	1	-0.5498	5	0.4388	14	0.2756
"épée"	28	1	-0.8883	5	-0.2939	22	0.7985
"mousse"	3	0	-0.1689	2	0.9888	1	-0.6165
"soudain"	12	1	-0.2505	4	0.6955	7	-0.48
"casser"	36	5	0.3478	9	0.5581	22	-0.6251
"entrée"	11	5	2.187	1	-0.4863	5	-0.9861
"manoir"	7	0	-0.3941	2	0.3775	5	0.2211
"espèce"	30	5	0.5261	3	-0.8977	22	0.468
"fusionner"	7	0	-0.3941	3	0.8369	4	-0.3991
"réveiller"	26	2	-0.4293	6	0.3818	18	0.2679
"rêve"	24	2	-0.3685	6	0.4718	16	-0.283
"virtuel"	16	5	1.4365	2	-0.4471	9	-0.6458
"bancal"	28	0	-1.5764	15	4.1138	13	-1.8327
"produire"	20	7	2.1435	3	-0.3791	10	-1.1421
"expliquer"	64	9	0.4263	26	3.9495	29	-3.8322
"introduction"	35	8	1.2577	10	0.8518	17	-1.8773
"larguer"	2	1	0.6413	1	0.4465	0	-0.9893
"imaginer"	47	8	0.6854	4	-1.5192	35	0.6673
"Of"	5	1	0.3215	2	0.5854	2	-0.7196
"consacrer"	8	2	0.5969	4	1.2599	2	-1.7981
"Riku"	8	2	0.5969	1	-0.2945	5	-0.3019
"Ansem"	3	0	-0.1689	1	0.314	2	-0.1638
"QUE"	9	3	1.0658	2	0.2522	4	-0.9018
"discussion"	21	1	-0.5905	5	0.39	15	0.3279
"service"	33	1	-1.1122	9	0.7121	23	0.3015
"botter"	4	0	-0.2252	2	0.7481	2	-0.4157
"cul"	26	3	-0.2153	7	0.6081	16	-0.517
"philosophique"	9	2	0.5219	3	0.5884	4	-0.9018
"clicher"	6	0	-0.3378	1	-0.1812	5	0.4228
"ailleurs"	215	18	-1.2997	50	0.9095	147	0.3149
"oh"	28	11	3.6003	5	-0.2939	12	-2.2787
"remplacer"	19	3	0.3853	6	0.7987	10	-0.9249
"résultat"	38	6	0.5044	9	0.4732	23	-0.6851
"râler"	7	1	0.2244	2	0.3775	4	-0.3991
"review"	5	1	0.3215	1	0.1743	3	-0.2901
"marathon"	2	0	-0.1126	1	0.4465	1	-0.2694
"apprivoiser"	12	2	0.3582	1	-0.5544	9	0.365
"dantesque"	7	0	-0.3941	2	0.3775	5	0.2211
"argent"	72	7	-0.4693	8	-1.4323	57	1.6006
"maniable"	7	0	-0.3941	3	0.8369	4	-0.3991
"justifier"	35	4	-0.2395	9	0.6056	22	-0.5035
"presque"	139	14	-0.5631	29	0.3808	96	0.3644
"concrètement"	9	0	-0.5067	3	0.5884	6	-0.2293
"dé"	18	2	-0.2057	2	-0.5586	14	0.5708
"jauge"	46	5	-0.2953	6	-0.7818	35	0.8135
"invoquer"	13	1	-0.2848	4	0.6051	8	-0.3903
"Dingo"	17	3	0.4657	1	-0.9172	13	0.4925
"Donald"	23	3	0.266	2	-0.8641	18	0.6879
"généralement"	27	5	0.6474	3	-0.728	19	0.313
"incorporer"	8	0	-0.4504	6	2.9272	2	-1.7981
"up"	13	2	0.3179	4	0.6051	7	-0.6786
"grind"	3	0	-0.1689	2	0.9888	1	-0.6165
"composant"	3	0	-0.1689	2	0.9888	1	-0.6165
"linéaire"	34	9	1.7519	8	0.4445	17	-1.6571
"Pirate"	2	0	-0.1126	1	0.4465	1	-0.2694
"mini"	42	7	0.612	11	0.7029	24	-1.0363
"Winnie"	6	0	-0.3378	2	0.4671	4	-0.206
"ourson"	5	0	-0.2815	2	0.5854	3	-0.2901
"Et"	66	12	1.0022	13	-0.2514	41	-0.7305
"douter"	26	5	0.694	7	0.6081	14	-1.0302
"contrebalancer"	6	0	-0.3378	1	-0.1812	5	0.4228
"tristesse"	5	0	-0.2815	4	2.1846	1	-1.4082
"variable"	7	1	0.2244	1	-0.2361	5	0.2211
"compositeur"	9	0	-0.5067	3	0.5884	6	-0.2293
"gratifier"	3	1	0.4919	1	0.314	1	-0.6165
"morceau"	26	7	1.4974	8	0.8956	11	-2.2172
"virus"	16	6	2.0595	6	1.1006	4	-3.2816
"œuvrer"	3	0	-0.1689	1	0.314	2	-0.1638
"ombre"	26	3	-0.2153	2	-1.0618	21	0.9397
"étonner"	10	1	-0.1857	2	0.2077	7	0.2253
"dégueulasser"	5	0	-0.2815	4	2.1846	1	-1.4082
"reprise"	19	2	-0.2305	4	0.2687	13	0.2276
"One"	4	1	0.393	1	0.231	2	-0.4157
"sonner"	11	1	-0.2174	4	0.8014	6	-0.5906
"dégueulasse"	18	2	-0.2057	8	1.807	8	-1.4816
"PSOne"	2	1	0.6413	1	0.4465	0	-0.9893
"conclusion"	39	1	-1.3896	8	0.2818	30	0.8172
"déception"	50	13	2.2432	20	3.0719	17	-6.0667
"dégouter"	3	1	0.4919	1	0.314	1	-0.6165
"I"	28	0	-1.5764	4	-0.4927	24	1.5319
"TRÈS"	2	0	-0.1126	1	0.4465	1	-0.2694
"quête"	345	41	-0.3196	91	2.6996	213	-2.0871
"journal"	4	0	-0.2252	1	0.231	3	0.2104
"donné"	3	0	-0.1689	1	0.314	2	-0.1638
"envier"	18	4	0.7762	1	-0.9932	13	0.3375
"ds"	3	1	0.4919	0	-0.2884	2	-0.1638
"psp"	2	1	0.6413	0	-0.1923	1	-0.2694
"hearts"	9	0	-0.5067	0	-0.8652	9	1.5082
"mêler"	14	0	-0.7882	7	1.9527	7	-0.9021
"fantasy"	28	0	-1.5764	4	-0.4927	24	1.5319
"psychologie"	6	2	0.7985	1	-0.1812	3	-0.5319
"rebondissement"	13	2	0.3179	1	-0.6243	10	0.4439
"Jack"	17	3	0.4657	0	-1.6342	14	0.8068
"Noël"	7	3	1.3657	0	-0.6729	4	-0.3991
"M"	6	0	-0.3378	0	-0.5768	6	1.0055
"Sparrow"	4	1	0.393	0	-0.3845	3	0.2104
"inédit"	15	0	-0.8445	2	-0.3942	13	1.0175
"passé"	53	7	0.3288	11	0.3104	35	-0.3656
"blanc"	20	2	-0.2563	2	-0.6767	16	0.7391
"mono"	3	0	-0.1689	1	0.314	2	-0.1638
"au-delà"	16	2	0.2247	3	-0.219	11	0.2276
"haletant"	4	0	-0.2252	0	-0.3845	4	0.6703
"innovation"	8	0	-0.4504	0	-0.769	8	1.3407
"tournure"	4	0	-0.2252	0	-0.3845	4	0.6703
"réfléchir"	25	4	0.4414	2	-0.9949	19	0.5765
"mélancolique"	14	0	-0.7882	0	-1.3458	14	2.3462
"gommer"	8	1	0.1901	0	-0.769	7	0.6624
"frère"	26	1	-0.8011	8	0.8956	17	-0.3368
"troquer"	2	0	-0.1126	1	0.4465	1	-0.2694
"révélation"	21	2	-0.283	3	-0.4241	16	0.5361
"teneur"	2	1	0.6413	0	-0.1923	1	-0.2694
"plan"	63	4	-0.9774	22	2.4272	37	-1.1136
"partiellement"	4	0	-0.2252	2	0.7481	2	-0.4157
"incompréhensible"	14	3	0.6241	4	0.5274	7	-0.9021
"portage"	7	3	1.3657	0	-0.6729	4	-0.3991
"Europe"	5	1	0.3215	1	0.1743	3	-0.2901
"poseur"	3	0	-0.1689	0	-0.2884	3	0.5027
"adolescence"	8	0	-0.4504	2	0.3076	6	0.3002
"jubilatoire"	8	1	0.1901	1	-0.2945	6	0.3002
"pratique"	30	3	-0.3042	9	0.9055	18	-0.6458
"incontrôlable"	3	0	-0.1689	0	-0.2884	3	0.5027
"facilité"	25	3	-0.1951	2	-0.9949	20	0.8528
"grandement"	23	2	-0.3392	4	-0.2944	17	0.4448
"transformer"	44	4	-0.4351	12	0.8287	28	-0.4968
"rail"	10	1	-0.1857	2	0.2077	7	0.2253
"shooter"	16	1	-0.3936	0	-1.5381	15	1.7502
"briller"	15	2	0.2519	1	-0.7684	12	0.6169
"emplir"	2	0	-0.1126	0	-0.1923	2	0.3352
"réellement"	75	5	-1.0275	13	-0.4525	57	1.0763
"ampleur"	6	1	0.2671	0	-0.5768	5	0.4228
"fur"	38	3	-0.5151	5	-0.6852	30	1.0075
"mesure"	60	5	-0.6068	10	-0.4771	45	0.818
"repenser"	12	2	0.3582	1	-0.5544	9	0.365
"couche"	6	1	0.2671	1	-0.1812	4	-0.206
"lecture"	15	2	0.2519	3	0.2243	10	-0.2575
"prologue"	17	4	0.844	4	0.3515	9	-0.8451
"traitement"	9	0	-0.5067	4	1.077	5	-0.4981
"renvoyer"	5	0	-0.2815	1	0.1743	4	0.3123
"brouiller"	4	3	2.1849	0	-0.3845	1	-1.0012
"discours"	16	4	0.9189	1	-0.8423	11	0.2276
"tenir"	113	21	1.5082	17	-0.9208	75	-0.4084
"noyer"	8	3	1.2019	0	-0.769	5	-0.3019
"graver"	7	0	-0.3941	1	-0.2361	6	0.54
"adulte"	9	0	-0.5067	6	2.5303	3	-1.4577
"condamner"	3	0	-0.1689	0	-0.2884	3	0.5027
"néant"	6	4	2.5732	0	-0.5768	2	-1.0574
"formel"	3	2	1.3899	0	-0.2884	1	-0.6165
"piste"	12	3	0.7657	2	-0.2491	7	-0.48
"bain"	7	0	-0.3941	2	0.3775	5	0.2211
"chaud"	14	0	-0.7882	3	0.2624	11	0.5281
"soir"	11	0	-0.6193	1	-0.4863	10	1.0524
"chambre"	6	1	0.2671	1	-0.1812	4	-0.206
"jardin"	4	0	-0.2252	0	-0.3845	4	0.6703
"quartier"	58	3	-1.1772	5	-1.7653	50	2.8907
"résidentiel"	3	0	-0.1689	0	-0.2884	3	0.5027
"midi"	3	0	-0.1689	1	0.314	2	-0.1638
"gorger"	2	0	-0.1126	0	-0.1923	2	0.3352
"livre"	10	1	-0.1857	2	0.2077	7	0.2253
"surnaturel"	3	1	0.4919	0	-0.2884	2	-0.1638
"sommeiller"	2	0	-0.1126	0	-0.1923	2	0.3352
"révolu"	5	1	0.3215	0	-0.4807	4	0.3123
"poursuivre"	36	4	-0.2588	7	-0.2406	25	0.2966
"complexifier"	3	0	-0.1689	1	0.314	2	-0.1638
"absent"	11	1	-0.2174	3	0.4227	7	-0.3104
"débuter"	16	4	0.9189	1	-0.8423	11	0.2276
"mix"	8	2	0.5969	2	0.3076	4	-0.6342
"charmer"	6	1	0.2671	0	-0.5768	5	0.4228
"ambiant"	6	1	0.2671	0	-0.5768	5	0.4228
"prenant"	33	5	0.4278	5	-0.4731	23	0.3015
"confier"	9	2	0.5219	1	-0.356	6	-0.2293
"encourageant"	2	1	0.6413	1	0.4465	0	-0.9893
"passionnant"	35	3	-0.4314	4	-0.8293	28	1.0651
"LE"	30	9	2.1221	3	-0.8977	18	-0.6458
"Après"	10	1	-0.1857	3	0.4978	6	-0.3928
"FF10"	2	1	0.6413	1	0.4465	0	-0.9893
"récent"	11	2	0.4046	3	0.4227	6	-0.5906
"risquer"	38	2	-0.8443	8	0.3092	28	0.543
"test"	33	4	-0.203	3	-1.0769	26	0.9047
"intriguer"	11	1	-0.2174	3	0.4227	7	-0.3104
"effroyable"	5	2	0.9391	0	-0.4807	3	-0.2901
"hop"	7	2	0.6873	3	0.8369	2	-1.419
"intro"	17	7	2.6011	3	-0.2558	7	-1.6894
"bah"	20	7	2.1435	5	0.4388	8	-2.0387
"accabler"	2	1	0.6413	0	-0.1923	1	-0.2694
"fête"	3	1	0.4919	0	-0.2884	2	-0.1638
"émerveiller"	8	1	0.1901	1	-0.2945	6	0.3002
"redire"	10	1	-0.1857	1	-0.42	8	0.4803
"convenir|convier"	9	1	-0.1553	1	-0.356	7	0.387
"lock"	14	1	-0.3202	4	0.5274	9	-0.3172
"camer"	12	3	0.7657	1	-0.5544	8	-0.2453
"terriblement"	15	4	1.002	3	0.2243	8	-0.7632
"calvaire"	12	4	1.3154	2	-0.2491	6	-0.8171
"LES"	11	2	0.4046	3	0.4227	6	-0.5906
"SANS"	2	1	0.6413	0	-0.1923	1	-0.2694
"SONT"	5	1	0.3215	1	0.1743	3	-0.2901
"DE"	23	6	1.2808	2	-0.8641	15	-0.3327
"ET"	16	7	2.7836	3	-0.219	6	-1.9296
"KE"	2	2	1.8303	0	-0.1923	0	-0.9893
"S'"	4	1	0.393	1	0.231	2	-0.4157
"DU"	8	2	0.5969	2	0.3076	4	-0.6342
"Monde"	5	3	1.8282	0	-0.4807	2	-0.7196
"DES"	5	2	0.9391	1	0.1743	2	-0.7196
"serrer"	5	1	0.3215	1	0.1743	3	-0.2901
"dent"	11	2	0.4046	0	-1.0574	9	0.5792
"infarctus"	3	1	0.4919	0	-0.2884	2	-0.1638
"tenter"	55	9	0.6575	11	0.2651	35	-0.5403
"clone"	4	2	1.1251	1	0.231	1	-1.0012
"parallèle"	20	6	1.5595	3	-0.3791	11	-0.8036
"beat'"	4	4	3.6606	0	-0.3845	0	-1.9787
"em"	6	3	1.5681	0	-0.5768	3	-0.5319
"all"	13	4	1.1983	1	-0.6243	8	-0.3903
"OUI"	6	2	0.7985	0	-0.5768	4	-0.206
"C'"	42	9	1.2055	7	-0.4128	26	-0.6104
"UN"	10	6	3.3592	1	-0.42	3	-1.8085
"ouvrer|ouvrir"	20	4	0.6585	1	-1.1477	15	0.4658
"coffre"	14	3	0.6241	0	-1.3458	11	0.5281
"compter"	92	13	0.4874	22	0.7057	57	-0.8851
"chargement"	56	9	0.627	18	1.6903	29	-2.0778
"fréquent"	11	4	1.4486	1	-0.4863	6	-0.5906
"Zelda"	9	1	-0.1553	2	0.2522	6	-0.2293
"beat"	8	2	0.5969	1	-0.2945	5	-0.3019
"touche"	58	12	1.3552	11	-0.2914	35	-0.8702
"bourrinant"	2	2	1.8303	0	-0.1923	0	-0.9893
"strictement"	13	7	3.4632	3	0.3071	3	-2.9366
"indigeste"	8	3	1.2019	3	0.6991	2	-1.7981
"sous"	129	22	1.1979	17	-1.4935	90	0.4306
"avancer"	98	23	2.8691	22	0.5284	53	-2.5562
"rebelote"	4	2	1.1251	2	0.7481	0	-1.9787
"emprunter"	17	4	0.844	3	-0.2558	10	-0.5463
"pourrir"	18	5	1.2327	7	1.3052	6	-2.5728
"remplir"	79	11	0.4387	14	-0.4216	54	0.2791
"scénarisé"	5	2	0.9391	0	-0.4807	3	-0.2901
"ah"	39	12	2.769	8	0.2818	19	-2.0158
"cadeau"	10	2	0.4586	1	-0.42	7	0.2253
"sérieusement"	17	6	1.9169	4	0.3515	7	-1.6894
"faillir"	6	2	0.7985	0	-0.5768	4	-0.206
"achever"	14	2	0.2827	3	0.2624	9	-0.3172
"boule"	8	2	0.5969	1	-0.2945	5	-0.3019
"débouler"	2	1	0.6413	0	-0.1923	1	-0.2694
"gérer"	57	6	-0.3458	9	-0.552	42	0.6581
"vendre"	28	6	0.9338	8	0.7532	14	-1.4416
"euro"	16	5	1.4365	2	-0.4471	9	-0.6458
"obscur"	12	1	-0.2505	1	-0.5544	10	0.6829
"gondole"	7	2	0.6873	0	-0.6729	5	0.2211
"débarquer"	9	1	-0.1553	3	0.5884	5	-0.4981
"princesse"	6	1	0.2671	3	1.0127	2	-1.0574
"fantastique"	25	2	-0.3985	6	0.4245	17	0.2264
"correctement"	17	5	1.3297	1	-0.9172	11	-0.323
"crétin"	3	1	0.4919	1	0.314	1	-0.6165
"filer"	18	2	-0.2057	4	0.3074	12	-0.2674
"filtre"	7	4	2.2492	0	-0.6729	3	-0.8135
"minuscule"	5	1	0.3215	0	-0.4807	4	0.3123
"vaguement"	8	5	2.9663	0	-0.769	3	-1.1244
"massacre"	9	2	0.5219	3	0.5884	4	-0.9018
"pâlir"	3	1	0.4919	0	-0.2884	2	-0.1638
"Mario"	10	2	0.4586	0	-0.9613	8	0.4803
"supporter"	19	3	0.3853	6	0.7987	10	-0.9249
"vomir"	6	3	1.5681	0	-0.5768	3	-0.5319
"chevelure"	3	1	0.4919	0	-0.2884	2	-0.1638
"évolutif"	4	1	0.393	2	0.7481	1	-1.0012
"God"	7	2	0.6873	2	0.3775	3	-0.8135
"War"	10	2	0.4586	2	0.2077	6	-0.3928
"solliciter"	4	1	0.393	1	0.231	2	-0.4157
"achat"	20	6	1.5595	3	-0.3791	11	-0.8036
"espoir"	34	2	-0.6979	8	0.4445	24	0.3443
"amuser"	59	7	-0.2431	14	0.5639	38	-0.4924
"évidemment"	55	8	0.4542	14	0.723	33	-0.8826
"torture"	11	7	4.0824	3	0.4227	1	-4.0547
"ludique"	42	10	1.5784	4	-1.2176	28	-0.3144
"considérer"	34	6	0.6449	5	-0.513	23	-0.2617
"bouse"	4	2	1.1251	0	-0.3845	2	-0.4157
"montagne"	22	2	-0.3107	4	-0.2599	16	0.3844
"torturer"	7	1	0.2244	2	0.3775	4	-0.3991
"gestion"	68	3	-1.5567	4	-2.9364	61	4.586
"étonnement"	4	1	0.393	0	-0.3845	3	0.2104
"exactement"	18	5	1.2327	2	-0.5586	11	-0.4616
"lamentable"	4	2	1.1251	1	0.231	1	-1.0012
"saurer"	11	1	-0.2174	2	-0.2061	8	0.2919
"étron"	4	4	3.6606	0	-0.3845	0	-1.9787
"endormir"	5	2	0.9391	1	0.1743	2	-0.7196
"lit"	5	2	0.9391	1	0.1743	2	-0.7196
"véridique"	3	1	0.4919	2	0.9888	0	-1.484
"désolant"	2	2	1.8303	0	-0.1923	0	-0.9893
"prouesse"	13	0	-0.7319	0	-1.2497	13	2.1786
"gênant"	19	1	-0.5098	5	0.4937	13	0.2276
"étrange"	50	3	-0.894	10	0.2627	37	0.6457
"captivant"	10	0	-0.563	2	0.2077	8	0.4803
"davantage"	31	1	-1.0217	7	0.3758	23	0.526
"réel"	87	7	-0.8082	14	-0.6352	66	1.1572
"culte"	25	0	-1.4075	3	-0.6209	22	1.6852
"he'"	2	1	0.6413	0	-0.1923	1	-0.2694
"s"	311	45	0.9063	40	-3.1077	226	1.3746
"trilogie"	15	0	-0.8445	2	-0.3942	13	1.0175
"reproduire"	7	0	-0.3941	1	-0.2361	6	0.54
"visage"	35	6	0.6065	7	0.2528	22	-0.5035
"considérable"	4	0	-0.2252	0	-0.3845	4	0.6703
"redondant"	20	6	1.5595	3	-0.3791	11	-0.8036
"A-RPG"	5	2	0.9391	1	0.1743	2	-0.7196
"ainé"	3	0	-0.1689	0	-0.2884	3	0.5027
"compléter"	14	2	0.2827	0	-1.3458	12	0.9026
"idyllique"	2	0	-0.1126	0	-0.1923	2	0.3352
"troisième"	33	6	0.6858	2	-1.5534	25	0.6506
"rencontre"	38	1	-1.3428	0	-3.6531	37	5.0921
"convaincre"	20	2	-0.2563	7	1.0759	11	-0.8036
"pleinement"	20	0	-1.126	4	0.2349	16	0.7391
"perfectible"	7	0	-0.3941	1	-0.2361	6	0.54
"pose"	5	1	0.3215	2	0.5854	2	-0.7196
"inconnu"	19	2	-0.2305	2	-0.6169	15	0.6531
"étaler"	10	1	-0.1857	1	-0.42	8	0.4803
"atmosphère"	27	1	-0.8446	3	-0.728	23	1.4244
"Cité"	2	0	-0.1126	0	-0.1923	2	0.3352
"conquérir"	8	1	0.1901	0	-0.769	7	0.6624
"cut-scenes"	4	0	-0.2252	1	0.231	3	0.2104
"succéder"	6	0	-0.3378	1	-0.1812	5	0.4228
"naïveté"	4	0	-0.2252	0	-0.3845	4	0.6703
"exacerber"	2	0	-0.1126	0	-0.1923	2	0.3352
